household_id,avg_monthly_consumption,median_monthly_consumption,sd_monthly_consumption,n_months_recorded,n_valid_months,n_zero_months,household_size,average_age,median_age,youngest_age,oldest_age,average_hours_at_home,employed_members,male_members,female_members,head_gender,head_ethnicity,head_religion,head_marital_status,head_education,head_occupation,head_employment_status,total_appliances,total_weekly_hours,refrigerator,electric_iron_including_electric_steam_iron,microwave,electric_cook_tops_induction_cookers_infra_red_cookers_hot_plates,washing_machine,electric_water_heater_to_heat_water_for_drinking_purposes,electric_oven,air_fryer,electric_water_pump,geyser_hot_water_systems_for_bathrooms_which_operate_from_electricity,floor_area,no_of_electricity_meters,own_the_house_or_living_on_rent,type_of_house,socio_economic_class,total_monthly_expenditure_of_last_month,main_material_used_for_walls_of_the_house,main_material_used_for_roof_of_the_house,type_of_electricity_meter,missing_appliance_survey,consumption_outlier,usage_intensity_pc1
ID2093,25.92,24,5.6562649631477955,25,25,0,4,16.75,18.5,2,28,157.5,1,3,1,Male,Sinhala,Buddhism,Currently married (registered),Passed Grade 10,Service worker and shop and market sales worker,Own account worker,5,204,1,1,0,0,0,0,0,0,0,0,2000,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC D,40000,Cement Block,Asbestos,Smart meter,FALSE,FALSE,-0.518321934548762
ID2094,73.84,82,28.070862710884633,25,25,0,5,21,13,5,41,147.4,1,3,2,Male,Sri Lankan Tamil,Hinduism,Currently married (registered),Passed Grade 9,Service worker and shop and market sales worker,Private sector employee,11,242.25,1,1,0,0,1,0,0,0,0,0,150,1,"No, I am living on rent and the rent is paid by me or a household member.",Single House - Double Floor,SEC D,45000,Cement Block,Asbestos,Smart meter,FALSE,FALSE,-0.5934920312271149
ID2095,411.375,421.5,83.14932220173954,25,24,0,4,57,62.5,22,81,164.5,1,2,2,Female,Sinhala,Roman Catholicism,Currently married (registered),Passed Grade 10,Service worker and shop and market sales worker,Own account worker,24,448.445,1,1,1,0,1,0,0,0,1,0,2100,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC D,150000,I am not aware of that,Asbestos,Non smart meter,FALSE,TRUE,3.4583642972085276
ID2096,80.48,79,9.042123644365851,25,25,0,4,45.75,51,8,73,139,2,1,3,Female,Sinhala,Other Christian denominations,Currently married (registered),Passed GAQ (General Arts Qualifying (External) Examination)/GSQ (General Science Qualifying examination),Clerk,Private sector employee,8,220.41,1,1,0,0,0,1,0,0,0,0,700,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC B,50000,Brick,Asbestos,Non smart meter,FALSE,FALSE,-0.6488612645579723
ID2097,191.76,194,21.101500736519508,25,25,0,7,31.285714285714285,29,4,60,154.57142857142858,3,5,2,Male,Sinhala,Buddhism,Currently married (registered),Passed Grade 2,Elementary occupation,Private sector employee,7,92,0,1,0,0,0,0,0,0,0,0,600,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC E,50000,Cement Block,Asbestos,Smart meter,FALSE,FALSE,-1.4543492556282176
ID2098,27.32,32,24.855784035109412,25,25,4,2,70,70,67,73,0,0,1,1,Male,Sinhala,Buddhism,Currently married (customary),Passed G.C.E.(O/L),NA,NA,11,1,1,1,0,0,1,0,0,0,1,1,600,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC C,40000,Brick,Asbestos,Non smart meter,FALSE,FALSE,-1.7475424903191854
ID2099,86,86,8.266397845091497,25,25,0,5,29.4,22,14,49,117,2,2,3,Male,Sinhala,Roman Catholicism,Currently married (registered),Passed Grade 10,Skilled agricultural and fishery worker,Private sector employee,11,176.75,1,1,0,0,1,0,0,0,0,0,550,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC E,20000,Cement Block,Asbestos,Non smart meter,FALSE,FALSE,-1.0444364908361845
ID2100,88.12,82,19.272865208197075,25,25,0,4,19.25,19.5,0,38,161,1,2,2,Female,Sri Lankan Tamil,Hinduism,Currently married (registered),Passed Grade 10,NA,NA,9,23.5,1,1,0,0,1,0,0,0,0,0,952.87,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC D,50000,Brick,Asbestos,Non smart meter,FALSE,FALSE,-1.5197971992870511
ID2101,163.6,161,18.257418583505537,25,25,0,9,46.22222222222222,45,12,88,148,2,2,7,Male,Sinhala,Buddhism,Currently married (registered),Passed Grade 12,"Legislator, senior official, and manager",Government employee,15,86.25,1,0,0,0,1,0,0,0,0,0,3000,2,"Yes, I or a household member owns it.",Single House - Single Floor,SEC C,100000,Pressed soil blocks,Tile,Smart meter,FALSE,FALSE,0.6815671397838873
ID2102,27.08,13,31.86942108040245,25,25,7,3,48.333333333333336,49,45,51,119,0,1,2,Male,Sinhala,Roman Catholicism,Currently married (registered),Passed G.C.E.(O/L),NA,NA,9,169.25,1,1,0,0,0,0,0,0,1,0,400,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC C,30000,Brick,Tile,Non smart meter,FALSE,FALSE,-1.1912807867617643
