term,estimate,std.error,statistic,p.value,conf.low,conf.high
head_occupationRelated to forces,-0.015121362520114364,0.03936640318140684,-0.3841184690009053,0.7008917080957193,-0.09227931249999269,0.06203658745976395
head_occupationService worker and shop and market sales worker,0.05024829469669101,0.0196718768827377,2.554321328677309,0.010641416362337194,0.011691516076756218,0.0888050733166258
head_occupationSkilled agricultural and fishery worker,-0.1259766065830693,0.025733500868586504,-4.895432114984866,9.828881346938738e-7,-0.17641413737997344,-0.07553907578616517
head_occupationTechnician and associate professional,-0.012205854540357153,0.022167607679122164,-0.5506166798437541,0.5818980757621267,-0.05565425282549989,0.03124254374478558
head_employment_statusEmployer,-0.049751317816890364,0.07360342805572669,-0.6759375090413263,0.49908235966150716,-0.19401366238774576,0.09451102675396504
head_employment_statusGovernment employee,-0.1382041935311342,0.07334612087476158,-1.8842740677058805,0.05953169153069398,-0.2819622173362117,0.005553830273943294
head_employment_statusOwn account worker,-0.02957174640715297,0.07267302387521855,-0.4069150398630504,0.6840715247608237,-0.1720105035171498,0.11286701070284387
head_employment_statusPrivate sector employee,-0.08976915354535761,0.07242153535290038,-1.2395367359712084,0.21515058536383538,-0.2317149944309252,0.05217668734020997
head_employment_statusSemi government employee,-0.15946787689004602,0.0762338275529032,-2.0918256633432417,0.03645739363725703,-0.30888579109460623,-0.010049962685485775
head_main_activityHousehold activities,0.0287690410847044,0.01697465576360802,1.694823240326462,0.09011301652391072,-0.004501197862416879,0.062039280031825676
head_main_activityOther,-0.2468969296643505,0.03895717926794621,-6.337649036810429,2.3458779747725907e-10,-0.3232528028555554,-0.1705410564731456
head_main_activityReceived other pension payments,-0.10020458481136237,0.025738810186305618,-3.8931319702056935,9.904196944616629e-5,-0.15065252184398764,-0.049756647778737104
head_main_activityRetired - Obtaining government/semi-government pension payment and currently not engaged in economic activity (not employed elsewhere or not engaged in any own business),-0.0040013188476466875,0.019719547318910253,-0.20291129319229267,0.8392049054234686,-0.04265153127998164,0.03464889358468827
head_main_activityRetired and obtaining government/semi-government pension payment and is currently engaged in economic activity (employed elsewhere other than the place where he/she is receiving the pension from / engaged in own business),0.023287221258781084,0.015252012383847342,1.5268294224205743,0.12680755655189987,-0.006606645427043013,0.05318108794460518
head_main_activityRetired from the private/semi-government sector and does not obtain any pension payment,-0.013886570363978909,0.021802195098473,-0.636934505964104,0.5241694062922835,-0.056618761849891806,0.028845621121933986
head_main_activitySeeking for and available to work,-0.16343615615403276,0.06156902066128793,-2.6545193410359813,0.0079437875625023,-0.28411112345044753,-0.042761188857617996
head_main_activityStudent,0.26313382223750076,0.12998082004837883,2.0244050017499693,0.04293195590754288,0.008372076151101804,0.5178955683238997
head_main_activityToo old / Disable/ unable to work,-0.13128719681771284,0.0200872958733888,-6.535832281518747,6.365151176698909e-11,-0.17065819454610018,-0.0919161990893255
socio_economic_classSEC B,-0.02898698187282947,0.013781499218321518,-2.103325727747628,0.035440554154403565,-0.05599865023467808,-0.0019753135109808577
