term,estimate,naive_std_error,naive_p_value,robust_estimate,robust_std_error,robust_t_value,robust_p_value,significant_naive,significant_robust,conclusion_disagrees
month_of_yearAug,-0.01772606297622755,0.018731162918464706,0.343977790579409,-0.01772606297622755,0.010277401636076813,-1.7247611413767918,0.08457455581702487,FALSE,FALSE,FALSE
head_educationStudying/Studied Grade 1,0.1824199260784349,0.1365028485365396,0.18142846747779523,0.1824199260784349,0.152668584782203,1.1948753329879567,0.23213943625324274,FALSE,FALSE,FALSE
type_of_houseFlat,-0.13015909594842856,0.07562749304569596,0.0852448264116349,-0.13015909594842856,0.20261086261327962,-0.6424092680403879,0.5206094036557984,FALSE,FALSE,FALSE
head_educationPassed GAQ (General Arts Qualifying (External) Examination)/GSQ (General Science Qualifying examination),0.10268980255006951,0.056496749474078026,0.06912564285052133,0.10268980255006951,0.1644607988047073,0.6244029172691229,0.5323648668499072,FALSE,FALSE,FALSE
head_educationPassed Grade 4,-0.09098946604090387,0.053707172116665175,0.09023567729238643,-0.09098946604090387,0.15911399176558683,-0.5718508160800417,0.5674247230393343,FALSE,FALSE,FALSE
type_of_houseOther,0.24266611841939337,0.17424195205843213,0.16371569081615403,0.24266611841939337,0.4904273987506755,0.4948053861541298,0.6207389192483151,FALSE,FALSE,FALSE
head_main_activityHousehold activities,0.0287690410847044,0.01697465576360802,0.09011301652391072,0.0287690410847044,0.06019855669903185,0.47790250567863,0.632720959815261,FALSE,FALSE,FALSE
head_educationPassed Grade 9,-0.06692327981882643,0.04830940431530232,0.16596312440310532,-0.06692327981882643,0.14870703301406737,-0.450034396237975,0.652686911057593,FALSE,FALSE,FALSE
head_educationPassed Grade 5,-0.06994628951013908,0.04855266573125759,0.14969412161248885,-0.06994628951013908,0.1619097707608117,-0.432007834866682,0.665736933152839,FALSE,FALSE,FALSE
head_employment_statusGovernment employee,-0.1382041935311342,0.07334612087476158,0.05953169153069398,-0.1382041935311342,0.3237066734487723,-0.426942676401157,0.6694222789145203,FALSE,FALSE,FALSE
head_educationPassed Grade 7,0.06107783547549369,0.048945005584543476,0.2120762568096775,0.06107783547549369,0.14404826956713349,0.42400950500157486,0.6715600704340088,FALSE,FALSE,FALSE
head_main_activityRetired and obtaining government/semi-government pension payment and is currently engaged in economic activity (employed elsewhere other than the place where he/she is receiving the pension from / engaged in own business),0.023287221258781084,0.015252012383847342,0.12680755655189987,0.023287221258781084,0.06037318914559266,0.38572123799229663,0.6997042018590567,FALSE,FALSE,FALSE
head_educationPassed Grade 3,-0.06574615907809123,0.06677711405184548,0.32484273566534816,-0.06574615907809123,0.17756243285422246,-0.3702706592901234,0.7111818555556484,FALSE,FALSE,FALSE
type_of_houseSingle House - Double Floor,0.06008048455308972,0.07163717531156799,0.40165294122480244,0.06008048455308972,0.1632379813853673,0.3680545669776051,0.7128335625435651,FALSE,FALSE,FALSE
head_educationPassed Grade 10,-0.0503028611899005,0.045532201886167536,0.2692603437585753,-0.0503028611899005,0.1414073887306826,-0.3557300763519847,0.7220436970492434,FALSE,FALSE,FALSE
"housing_tenureNo, I am living on rent and the rent is paid by the employer.",0.15107232954128702,0.11824050103015123,0.20136970831296686,0.15107232954128702,0.43120141395026235,0.3503521200389958,0.7260754167000858,FALSE,FALSE,FALSE
head_educationPassed post Graduate Degree / Diploma,0.05724717518352872,0.05189878306906431,0.270007051284346,0.05724717518352872,0.1697535635386173,0.3372369568577895,0.7359392025605697,FALSE,FALSE,FALSE
head_educationPhD,0.0732185563974425,0.05923125254535262,0.216407579159155,0.0732185563974425,0.2271442361143123,0.32234388884336307,0.7471930660410491,FALSE,FALSE,FALSE
head_employment_statusPrivate sector employee,-0.08976915354535761,0.07242153535290038,0.21515058536383538,-0.08976915354535761,0.3217556476076004,-0.2789979110322759,0.7802471800713635,FALSE,FALSE,FALSE
head_educationPassed Grade 1,0.06130891741455071,0.09037270622672562,0.49751964011891936,0.06130891741455071,0.2361093476111791,0.25966323669452174,0.7951242498820232,FALSE,FALSE,FALSE
type_of_houseTwin houses,0.052357546841212896,0.1042861880416335,0.6156292982445566,0.052357546841212896,0.20482847908907142,0.25561653864765926,0.798247632004474,FALSE,FALSE,FALSE
head_educationPassed G.C.E.(O/L),0.03476758386468708,0.045943466253101285,0.4492037282119259,0.03476758386468708,0.14163886999693676,0.2454664024461576,0.8060959761952212,FALSE,FALSE,FALSE
head_occupationNo occupation,0.027548665397329815,0.0335038955368745,0.41093570061187246,0.027548665397329815,0.13401894996886388,0.2055579856709077,0.8371367446702476,FALSE,FALSE,FALSE
head_main_activityRetired from the private/semi-government sector and does not obtain any pension payment,-0.013886570363978909,0.021802195098473,0.5241694062922835,-0.013886570363978909,0.0696501737845168,-0.19937596145762795,0.8419691914637797,FALSE,FALSE,FALSE
head_educationPassed Degree / Diploma,0.028325639796251433,0.04794301191928002,0.5546434796356531,0.028325639796251433,0.14997760897352563,0.1888657913012304,0.8501985052787887,FALSE,FALSE,FALSE
type_of_houseSingle House - Single Floor,-0.028899969668808312,0.0716395965310642,0.6866493983160611,-0.028899969668808312,0.16326578566256322,-0.17701179430538252,0.8594995927295317,FALSE,FALSE,FALSE
head_employment_statusEmployer,-0.049751317816890364,0.07360342805572669,0.49908235966150716,-0.049751317816890364,0.3257587127941737,-0.15272444254875564,0.8786159862397249,FALSE,FALSE,FALSE
head_educationPassed G.C.E.(A/L) or equivalent,-0.02177052393523397,0.04632897903333592,0.6384195234825225,-0.02177052393523397,0.14521496467646763,-0.14991928678795408,0.8808286892148763,FALSE,FALSE,FALSE
head_occupationTechnician and associate professional,-0.012205854540357153,0.022167607679122164,0.5818980757621267,-0.012205854540357153,0.08291432550165397,-0.14721044242365178,0.8829663054457162,FALSE,FALSE,FALSE
head_educationPassed Grade 2,0.021879823402590457,0.06222597110686026,0.7251251045256372,0.021879823402590457,0.20468808506969444,0.10689348818296178,0.9148737588271613,FALSE,FALSE,FALSE
head_occupationRelated to forces,-0.015121362520114364,0.03936640318140684,0.7008917080957193,-0.015121362520114364,0.15468559072932478,-0.09775546932858373,0.9221267237067248,FALSE,FALSE,FALSE
head_educationPassed Grade 12,-0.013984655278893669,0.04720872820050648,0.7670550197326068,-0.013984655278893669,0.14805345874350376,-0.09445679552222742,0.9247465478519781,FALSE,FALSE,FALSE
head_employment_statusOwn account worker,-0.02957174640715297,0.07267302387521855,0.6840715247608237,-0.02957174640715297,0.32189061799008883,-0.09186892924000506,0.9268024178242393,FALSE,FALSE,FALSE
type_of_houseLine room/row house,-0.026324779742472368,0.0986625650758836,0.7896113271770471,-0.026324779742472368,0.3093984314305246,-0.08508375307773205,0.9321950286930492,FALSE,FALSE,FALSE
head_occupationElementary occupation,-0.005021541590492025,0.02242174392205071,0.8227901412195068,-0.005021541590492025,0.0847722325588685,-0.0592356888442794,0.9527645382665965,FALSE,FALSE,FALSE
head_main_activityRetired - Obtaining government/semi-government pension payment and currently not engaged in economic activity (not employed elsewhere or not engaged in any own business),-0.0040013188476466875,0.019719547318910253,0.8392049054234686,-0.0040013188476466875,0.06998474266458109,-0.05717415961396017,0.9544066110483564,FALSE,FALSE,FALSE
month_of_yearJun,2.2891764476435468e-4,0.018859573323696217,0.9903155404921187,2.2891764476435468e-4,0.009252295537368407,0.02474171343098545,0.9802610471092424,FALSE,FALSE,FALSE
head_occupationProfessional,-8.88410523052516e-5,0.020333409183749502,0.9965138926390323,-8.88410523052516e-5,0.08051838982557218,-0.0011033634986704142,0.999119646347449,FALSE,FALSE,FALSE
